id,machine_tag,title,inscription,latitude,longitude,as_wkt,country,area,address,erected,main_photo,colour,organisations,language,series,series_ref,geolocated?,photographed?,number_of_subjects,number_of_male_subjects,number_of_female_subjects,number_of_inanimate_subjects,lead_subject_id,lead_subject_machine_tag,lead_subject_name,lead_subject_surname,lead_subject_sex,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_roles,lead_subject_primary_role,lead_subject_wikipedia,lead_subject_dbpedia,lead_subject_image,subjects
1,openplaques:id=1,George Seferis blue plaque,"George Seferis 1900-1971 Greek Ambassador, poet and Nobel laureate lived here 1957-1962",51.5114,-0.15432,POINT(-0.15432 51.5114),United Kingdom,London,"51 Upper Brook Street, Westminster, W1",2000,https://commons.wikimedia.org/wiki/Special:FilePath/GEORGE_SEFERIS_1900-1971_Greek_Ambassador_Poet_and_Nobel_laureate_lived_here_1957-1962.JPG?width=640,blue,"[""English Heritage""]",English,"",,true,true,1,1,0,0,1,openplaques:subject:id=1,George Seferis,Seferis,male,1900,1971,man,"[""Greek Ambassador"", ""poet"", ""Nobel Literature Laureate""]","",https://en.wikipedia.org/wiki/Giorgos_Seferis,http://dbpedia.org/resource/Giorgos_Seferis,https://commons.wikimedia.org/wiki/Special:FilePath/George_Seferis.JPG?width=640,"[""George Seferis|(1900-1971)|man|Greek Ambassador, poet, and Nobel Literature Laureate""]"
10,openplaques:id=10,Gilbert Bayes blue plaque,Gilbert Bayes 1872-1953 sculptor lived here 1931-1953,51.5352,-0.1875,POINT(-0.1875 51.5352),United Kingdom,London,4 Greville Place,2007,https://farm8.staticflickr.com/7755/17942196631_e81c0fac3f_z.jpg,blue,"[""English Heritage""]",English,"",,true,true,1,1,0,0,10,openplaques:subject:id=10,Gilbert Bayes,Bayes,male,1872,1953,man,"[""sculptor""]",sculptor,https://en.wikipedia.org/wiki/Gilbert_Bayes,http://dbpedia.org/resource/Gilbert_Bayes,"","[""Gilbert Bayes|(1872-1953)|man|sculptor""]"
100,openplaques:id=100,Edward Elgar blue plaque,Sir Edward Elgar 1857-1934 composer lived here 1890-1891,51.4942,-0.20573,POINT(-0.20573 51.4942),United Kingdom,London,"51 Avonmore Road, Hammersmith and Fulham, W14",1962,https://farm4.staticflickr.com/3567/3460091228_9a35b48dc8_z.jpg,blue,"[""London County Council""]",English,"",,true,true,1,1,0,0,99,openplaques:subject:id=99,Edward Elgar,Elgar,male,1857,1934,man,"[""composer"", ""friend of Alfred Rodewald"", ""friend of George Robertson Sinclair"", ""organist"", ""violinist"", ""conductor"", ""teacher"", ""husband of Caroline Alice Elgar"", ""friend of Arthur Troyte Griffith"", ""Master of the King's Music"", ""Order of Merit recipient"", ""Knight Grand Cross of the Royal Victorian Order"", ""Baronet Elgar of Broadheath"", ""Knight Bachelor"", ""Knight Commander of the Royal Victorian Order""]","",https://en.wikipedia.org/wiki/Edward_Elgar,http://dbpedia.org/resource/Edward_Elgar,https://commons.wikimedia.org/wiki/Special:FilePath/Edward_Elgar.jpg?width=640,"[""Edward Elgar|(1857-1934)|man|composer, friend of Alfred Rodewald, friend of George Robertson Sinclair, organist, violinist, conductor, teacher, husband of Caroline Alice Elgar, friend of Arthur Troyte Griffith, Master of the King's Music, Order of Merit recipient, Knight Grand Cross of the Royal Victorian Order, Baronet Elgar of Broadheath, Knight Bachelor, and Knight Commander of the Royal Victorian Order""]"
10000,openplaques:id=10000,plaque № 10000,"Stanmore Park. Behind these gates was Stanmore House, the 18th century mansion of Andrew Drummond, banker, and then of George Glynn, banker. For half a centrury it was a Boys' School, with England cricketer Rev Vernon Royle as one headmaster. It was demolished in 1938 and the site was used by RAF Balloon, the Transport, then Fighter, Commands until 1997.",51.61661,-0.31547,POINT(-0.31547 51.61661),United Kingdom,London,"Uxbridge Road, near the Old Church, Stanmore","","","","[""Harrow Heritage Trust""]",English,"",,true,false,0,0,0,0,"","","","","","","","",[],"","","","",[]
10001,openplaques:id=10001,Terracotta plaque № 10001,"Elliott Hall. Elliott Hall, the assembly hall of the Royal Commercial Travellers School (1885-1967), was designed by H. O. Cresswell, opened in 1905, and named after a successful former pupil. Harrow College of Further Education was here 1967-1987, followed by the Harrow Arts Centre.",51.60844,-0.36391,POINT(-0.36391 51.60844),United Kingdom,London,"Harrow Arts Centre, Uxbridge Road, Hatch End","",https://commons.wikimedia.org/wiki/Special:FilePath/Elliot_Hall_Harrow_Heritage_plaque.jpg?width=640,terracotta,"[""Harrow Heritage Trust""]",English,"",,true,true,0,0,0,0,"","","","","","","","",[],"","","","",[]
10002,openplaques:id=10002,plaque № 10002,Zoroastrian Centre,51.57418,-0.37068,POINT(-0.37068 51.57418),United Kingdom,London,"The Ace Bar, Alexandra Avenue, Rayners Lane, Harrow","","","","[""Harrow Heritage Trust""]",English,"",,true,false,0,0,0,0,"","","","","","","","",[],"","","","",[]
10003,openplaques:id=10003,plaque № 10003,The King’s Head,51.50779,-0.27328,POINT(-0.27328 51.50779),United Kingdom,London,"High Street, Harrow on the Hill","","","","[""Harrow Heritage Trust""]",English,"",,true,false,0,0,0,0,"","","","","","","","",[],"","","","",[]
10004,openplaques:id=10004,Pinner Hill Farm plaque,Pinner Hill Farm,,,"",United Kingdom,London,"Pinner Hill Road, Harrow","","","","[""Harrow Heritage Trust""]",English,"",,false,false,1,1,0,1,19143,openplaques:subject:id=19143,Pinner Hill Farm,Pinner Hill Farm,object,,,place,"[""farm""]",farm,,,"","[""Pinner Hill Farm||place|farm""]"
10007,openplaques:id=10007,Arthur Haynes blue plaque,Arthur Haynes 1914-1966 comedian and King Rat lived here 1963-1966,51.50316,-0.28831,POINT(-0.28831 51.50316),United Kingdom,London,"74 Gunnersbury Avenue, W5","",https://farm66.staticflickr.com/65535/49675917663_7708e1b9c8_z.jpg,blue,"[""Dead Comics Society""]",English,"",,true,true,1,1,0,0,6839,openplaques:subject:id=6839,Arthur Haynes,Haynes,male,1914,1966,man,"[""comedian"", ""King Rat""]","",https://en.wikipedia.org/wiki/Arthur_Haynes,http://dbpedia.org/resource/Arthur_Haynes,"","[""Arthur Haynes|(1914-1966)|man|comedian and King Rat""]"
10008,openplaques:id=10008,Eddie Ingram green plaque,"Eddie Ingram Ealing, Middlesex & Ireland. A member of this club 1934 to 1973. He will never be forgotten",51.51908,-0.29537,POINT(-0.29537 51.51908),United Kingdom,London,"Ealing Cricket Club, Corfton Road, W5","",https://farm3.staticflickr.com/2841/9151138911_f522766f42_z.jpg,green,[],English,"",,true,true,1,1,0,0,6838,openplaques:subject:id=6838,Eddie Ingram,Ingram,male,1910,1973,man,"[""cricketer""]",cricketer,https://en.wikipedia.org/wiki/Eddie_Ingram,http://dbpedia.org/resource/Eddie_Ingram,"","[""Eddie Ingram|(1910-1973)|man|cricketer""]"
10009,openplaques:id=10009,Mervyn Mansell blue plaque,Mervyn Mansell MBE DSC 1918-2009 player and colts coaching manager. A lifelong contribution,51.5185,-0.29829,POINT(-0.29829 51.5185),United Kingdom,London,"Ealing Cricket Club, Corfton Road, W5","",https://farm2.staticflickr.com/1744/41822865885_3aa8d78a37_z.jpg,blue,[],English,"",,true,true,1,1,0,0,6837,openplaques:subject:id=6837,Mervyn Mansell,Mansell,male,1918,2009,man,"[""Member of the Most Excellent Order of the British Empire"", ""Distinguished Service Cross recipient"", ""player"", ""colts coaching manager""]","",,,"","[""Mervyn Mansell|(1918-2009)|man|Member of the Most Excellent Order of the British Empire, Distinguished Service Cross recipient, player, and colts coaching manager""]"
10010,openplaques:id=10010,William Henry Perkin blue plaque,"Sir William H. Perkin (1838-1907) discovered mauveine, the world’s first synthetic dyestuff, in 1856. He and his brother Thomas produced mauveine from a factory on this site in 1857, and later alizarin, thus laying the foundations of the organic chemicals industry. This replaces a centenary plaque unveiled by Sir R Robinson in 1957.",51.54689,-0.3446,POINT(-0.3446 51.54689),United Kingdom,London,"Howdens Joinery, Oldfirled Lane North, Greenford",2006,https://commons.wikimedia.org/wiki/Special:FilePath/William_Perkin_plaque.JPG?width=640,blue,"[""Royal Society of Chemistry""]",English,"","",true,true,1,1,0,0,4721,openplaques:subject:id=4721,William Henry Perkin,Perkin,male,1838,1907,man,"[""Fellow of the Royal Society"", ""founder of science-based industry"", ""discoverer of the first aniline dyestuff"", ""Knight Bachelor"", ""father of William Henry Perkin, Jr.""]","",https://en.wikipedia.org/wiki/William_Henry_Perkin,http://dbpedia.org/resource/William_Henry_Perkin,https://commons.wikimedia.org/wiki/Special:FilePath/William_Henry_Perkin.jpg?width=640,"[""William Henry Perkin|(1838-1907)|man|Fellow of the Royal Society, founder of science-based industry, discoverer of the first aniline dyestuff, Knight Bachelor, and father of William Henry Perkin, Jr.""]"
10011,openplaques:id=10011,Charles Hamilton blue plaque,Charles Hamilton known as Frank Richards creator of Billy Bunter was born in a house on this site 8 August 1876,51.5129,-0.30284,POINT(-0.30284 51.5129),United Kingdom,London,"Ealing Broadway Centre, W5","",https://commons.wikimedia.org/wiki/Special:FilePath/Bunter_738.JPG?width=640,blue,[],English,"",,true,true,1,1,0,0,6836,openplaques:subject:id=6836,Charles Hamilton,Hamilton,male,1876,1961,man,"[""Frank Richards"", ""creator of Billy Bunter""]","",https://en.wikipedia.org/wiki/Charles_Hamilton_(writer),http://dbpedia.org/resource/Charles_Hamilton_(writer),"","[""Charles Hamilton|(1876-1961)|man|Frank Richards and creator of Billy Bunter""]"
10012,openplaques:id=10012,Richard White green plaque,"Richard White founder of the Mill Hill Park estate, eminent lawyer and founder member of the Law Society lived here 1809-1849. This is the east wing of his original mansion",51.50421,-0.27604,POINT(-0.27604 51.50421),United Kingdom,London,"11 Avenue Crescent, W3","","",green,"[""Mill Hill Park Residents' Association""]",English,"",,true,false,1,1,0,0,6835,openplaques:subject:id=6835,Richard White,White,male,,,man,"[""lawyer"", ""founder of the Mill Hill Park estate"", ""founder member of the Law Society""]","",,,"","[""Richard White||man|lawyer, founder of the Mill Hill Park estate, and founder member of the Law Society""]"
10013,openplaques:id=10013,Fred Perry green plaque,Fred Perry 1909-1995 tennis champion played here 1919-1935,51.5289,-0.30825,POINT(-0.30825 51.5289),United Kingdom,London,"Brentham Club, Meadvale Road, W5",2011,https://commons.wikimedia.org/wiki/Special:FilePath/Fred_Perry_plaque.gif?width=640,green,"[""Ealing Civic Society"", ""Brentham Club"", ""Brentham Society""]",English,"",,true,true,1,1,0,0,4999,openplaques:subject:id=4999,Fred Perry,Perry,male,1909,1995,man,"[""tennis player"", ""member of Britain's winning Davis Cup Team"", ""winner of Men's Singles at Wimbledon"", ""Freeman of Stockport Borough""]","",https://en.wikipedia.org/wiki/Fred_Perry,http://dbpedia.org/resource/Fred_Perry,https://commons.wikimedia.org/wiki/Special:FilePath/Fred_Perry_01.jpg?width=640,"[""Fred Perry|(1909-1995)|man|tennis player, member of Britain's winning Davis Cup Team, winner of Men's Singles at Wimbledon, and Freeman of Stockport Borough""]"
10014,openplaques:id=10014,Winnie The Pooh green plaque,Winnie The Pooh world famous teddy bear was 'born' in the soft toy factory of J. K. Farnell & Co Ltd adjacent to 'The Elms' Acton in 1921,51.50912,-0.28126,POINT(-0.28126 51.50912),United Kingdom,London,"Twyford C of E High School, Twyford Crescent, W3",2012,https://commons.wikimedia.org/wiki/Special:FilePath/Winnie_the_Pooh_plaque.gif?width=640,green,"[""Ealing Civic Society""]",English,"",,true,true,1,1,0,1,6834,openplaques:subject:id=6834,Winnie The Pooh,Winnie The Pooh,object,1921,,thing,"[""teddy bear""]",teddy bear,,,"","[""Winnie The Pooh|(1921-present)|thing|teddy bear""]"
10015,openplaques:id=10015,British Ballet Organisation blue plaque,The British Ballet Organisation founded by Louise Kay and Edouard Espinosa in 1930,51.48623,-0.23789,POINT(-0.23789 51.48623),United Kingdom,London,"Woolborough House, 39 Lonsdale Road, SW13","","",blue,"[""British Ballet Organisation""]",English,"",,true,false,1,1,0,1,6833,openplaques:subject:id=6833,British Ballet Organisation,Ballet Organisation,object,1930,,group,"[""organisation""]",organisation,,,"","[""British Ballet Organisation|(1930-present)|group|organisation""]"
10016,openplaques:id=10016,Edouard Espinosa blue plaque,Co-founder of the RAD and BBO Espinosa 1871-1950 Maitre de Ballet lived and taugh here 1913-1950,51.48624,-0.23782,POINT(-0.23782 51.48624),United Kingdom,London,"Woolborough House, 39 Lonsdale Road, SW13","","",blue,[],English,"",,true,false,1,1,0,0,6832,openplaques:subject:id=6832,Edouard Espinosa,Espinosa,male,1871,1950,man,"[""founder of the BBO"", ""founder of the RAD"", ""Maitre de Ballet""]","",https://en.wikipedia.org/wiki/Edouard_Espinosa,http://dbpedia.org/resource/Edouard_Espinosa,"","[""Edouard Espinosa|(1871-1950)|man|founder of the BBO, founder of the RAD, and Maitre de Ballet""]"
10017,openplaques:id=10017,John Passmore Edwards plaque,John Passmore Edwards 1823-1911,51.5317,-0.0363,POINT(-0.0363 51.5317),United Kingdom,London,"Vernon Hall, Roman Road, Bow, E3","","","","[""London Borough of Tower Hamlets""]",English,"",,true,false,1,1,0,0,275,openplaques:subject:id=275,John Passmore Edwards,Edwards,male,1823,1911,man,"[""journalist"", ""editor"", ""builder of free public libraries""]","",https://en.wikipedia.org/wiki/John_Passmore_Edwards,http://dbpedia.org/resource/John_Passmore_Edwards,https://commons.wikimedia.org/wiki/Special:FilePath/John_Passmore_Edwards_by_George_Frederic_Watts.jpg?width=640,"[""John Passmore Edwards|(1823-1911)|man|journalist, editor, and builder of free public libraries""]"
10019,openplaques:id=10019,William Hale White and John Kirk brown plaque,"Honeywood. In the 1880's John Kirk, a merchant, reconstructed a building called Wandle Cottage on this site and transferred the name 'Honeywood' from the neighbouring house, which he demolished. Novelist and philosopher William Henry Hale White (""Mark Rutherford"") lived in Wandle Cottage, 1804-6. A watercourse runs beneath the house.",51.3656,-0.16473,POINT(-0.16473 51.3656),United Kingdom,London,"Honeywood Walk, Carshalton","","",brown,"[""London Borough of Sutton""]",English,"",,true,false,2,2,0,0,592,openplaques:subject:id=592,William Hale White,White,male,1831,1913,man,"[""novelist""]",novelist,https://en.wikipedia.org/wiki/Hale_White,http://dbpedia.org/resource/Hale_White,https://commons.wikimedia.org/wiki/Special:FilePath/William_Hale_White00.jpg?width=640,"[""William Hale White|(1831-1913)|man|novelist"", ""John Kirk||man|merchant""]"
10020,openplaques:id=10020,William Cattley blue plaque,William Cattley botanist 1788-1835 lived in this house,51.65285,-0.20506,POINT(-0.20506 51.65285),United Kingdom,London,"Cattley Close, Wood Street, Barnet","","https://commons.wikimedia.org/wiki/Special:FilePath/Cattley_Close_plaque,_Chipping_Barnet_(3).JPG?width=640",blue,"[""London Borough of Barnet""]",English,"",,true,true,1,1,0,0,6829,openplaques:subject:id=6829,William Cattley,Cattley,male,1788,1835,man,"[""botanist""]",botanist,https://en.wikipedia.org/wiki/William_Cattley,http://dbpedia.org/resource/William_Cattley,"","[""William Cattley|(1788-1835)|man|botanist""]"
10021,openplaques:id=10021,Blue plaque № 10021,Cedar Lawn site of the former Victoria Maternity Hospital 1924-1987,51.65285,-0.20506,POINT(-0.20506 51.65285),United Kingdom,London,"Cattley Close, Wood Street, Barnet","","",blue,[],English,"",,true,false,0,0,0,0,"","","","","","","","",[],"","","","",[]
10022,openplaques:id=10022,Blue plaque № 10022,Chislehurst Caves. People came from across London and north west Kent to shelter here during the Blitz. At the height of the bombardment between October 1940 and July 1941 thousands used the cave system each night.,51.40734,0.05666,POINT(0.05666 51.40734),United Kingdom,London,"Caveside Close, Chislehurst","",https://commons.wikimedia.org/wiki/Special:FilePath/Chislehurst_Caves_plaque.jpg?width=640,blue,"[""London Borough of Bromley""]",English,"",,true,true,0,0,0,0,"","","","","","","","",[],"","","","",[]
10023,openplaques:id=10023,Edward Lear blue plaque,In Elizabethan times a favourite spot for archery contests. Edward Lear 1812-1888 born and lived nearby in Bowman's Lodge,51.55888,-0.11716,POINT(-0.11716 51.55888),United Kingdom,London,"Bowman’s Mews, Seven Sisters Road, N7 6AA","","",blue,"[""London Borough of Islington""]",English,"",,true,false,1,1,0,0,236,openplaques:subject:id=236,Edward Lear,Lear,male,1812,1888,man,"[""artist"", ""writer""]","",https://en.wikipedia.org/wiki/Edward_Lear,http://dbpedia.org/resource/Edward_Lear,https://commons.wikimedia.org/wiki/Special:FilePath/Edwardlear.jpg?width=640,"[""Edward Lear|(1812-1888)|man|artist and writer""]"
